episode,total_reward,avg_loss,epsilon,steps,elapsed_s
317,789.4,0.574199,0.05,2000,35.0
318,796.58,0.56955,0.05,2000,36.1
319,891.5,0.567153,0.05,1085,19.5
320,895.1,0.561731,0.05,1049,19.0
321,897.3,0.552759,0.05,1027,17.7
322,883.8,0.560307,0.05,1162,21.4
323,914.5,0.559857,0.05,855,15.1
324,910.9,0.556197,0.05,891,14.9
325,884.4,0.558086,0.05,1156,20.2
326,786.67,0.559495,0.05,2000,34.6
327,894.5,0.561104,0.05,1055,17.9
328,908.9,0.566045,0.05,911,15.9
329,791.02,0.555489,0.05,2000,35.3
330,792.62,0.551354,0.05,2000,34.6
331,857.9,0.571718,0.05,1421,24.2
332,793.03,0.560926,0.05,2000,34.6
333,774.11,0.571169,0.05,2000,35.1
334,785.96,0.580173,0.05,2000,34.5
335,908.4,0.588683,0.05,916,15.4
336,776.74,0.589632,0.05,2000,35.4
337,763.37,0.605633,0.05,2000,35.2
338,786.35,0.595013,0.05,2000,34.3
339,790.57,0.596198,0.05,2000,34.9
340,740.96,0.603346,0.05,2000,34.2
341,887.6,0.598647,0.05,1124,18.9
342,914.0,0.599157,0.05,860,14.3
343,894.2,0.612094,0.05,1058,17.8
344,882.3,0.600882,0.05,1177,19.9
345,909.7,0.613663,0.05,903,15.0
346,890.9,0.600004,0.05,1091,18.6
347,789.8,0.61187,0.05,2000,34.3
348,789.25,0.616534,0.05,2000,34.0
349,895.0,0.602799,0.05,1050,17.6
350,796.81,0.612117,0.05,2000,34.5
351,893.3,0.612185,0.05,1067,17.9
352,771.06,0.606043,0.05,2000,34.5
353,903.7,0.590989,0.05,963,16.3
354,892.4,0.601035,0.05,1076,18.4
355,850.5,0.610047,0.05,1495,25.8
356,796.35,0.603612,0.05,2000,34.2
357,906.6,0.591259,0.05,934,15.6
358,792.03,0.588558,0.05,2000,35.3
359,786.97,0.578951,0.05,2000,35.2
360,786.25,0.574416,0.05,2000,35.8
361,790.03,0.583547,0.05,2000,36.8
362,785.56,0.590042,0.05,2000,36.3
363,783.16,0.603546,0.05,2000,36.6
364,764.41,0.605766,0.05,2000,34.1
365,901.7,0.608387,0.05,983,16.6
366,793.13,0.593275,0.05,2000,34.2
367,887.7,0.588142,0.05,1123,19.1
368,843.0,0.577873,0.05,1570,26.7
369,796.67,0.583909,0.05,2000,34.8
370,793.99,0.608176,0.05,2000,35.2
371,783.82,0.626647,0.05,2000,34.7
372,789.86,0.673198,0.05,2000,34.4
373,793.44,0.63612,0.05,2000,34.1
374,780.46,0.618242,0.05,2000,34.4
375,759.87,0.610617,0.05,2000,35.0
376,767.43,0.602636,0.05,2000,34.4
377,908.0,0.602135,0.05,920,15.0
378,782.58,0.600644,0.05,2000,33.9
379,840.6,0.609189,0.05,1594,27.2
380,797.04,0.60732,0.05,2000,35.0
381,790.62,0.600736,0.05,2000,36.2
382,796.67,0.578319,0.05,2000,35.7
383,789.97,0.57613,0.05,2000,34.4
384,789.76,0.575447,0.05,2000,34.5
385,845.1,0.575686,0.05,1549,26.3
386,709.88,0.589969,0.05,2000,35.5
387,792.09,0.598261,0.05,2000,34.1
388,895.1,0.60005,0.05,1049,18.6
389,905.9,0.598052,0.05,941,16.3
390,865.0,0.594937,0.05,1350,25.3
391,903.9,0.594715,0.05,961,17.1
392,688.89,0.606615,0.05,2000,35.1
393,905.9,0.597742,0.05,941,15.7
394,893.7,0.601675,0.05,1063,17.9
395,889.1,0.587011,0.05,1109,18.6
396,903.3,0.589339,0.05,967,16.0
397,911.2,0.595545,0.05,888,14.7
398,777.53,0.590931,0.05,2000,34.2
399,819.4,0.579055,0.05,1806,31.1
400,788.83,0.583495,0.05,2000,35.7
401,796.62,0.578564,0.05,2000,35.0
402,897.0,0.58393,0.05,1030,18.5
403,911.9,0.579525,0.05,881,15.4
404,886.3,0.590788,0.05,1137,19.8
405,900.9,0.579504,0.05,991,16.6
406,792.86,0.586196,0.05,2000,34.2
407,788.51,0.60087,0.05,2000,34.5
408,778.26,0.601751,0.05,2000,34.4
409,787.29,0.600498,0.05,2000,33.4
410,789.09,0.607637,0.05,2000,33.9
411,915.1,0.586541,0.05,849,14.2
412,907.1,0.600459,0.05,929,15.3
413,897.8,0.605046,0.05,1022,17.1
414,793.33,0.615235,0.05,2000,34.3
415,879.1,0.610684,0.05,1209,20.2
416,787.06,0.624227,0.05,2000,34.8
417,790.54,0.615026,0.05,2000,34.9
418,796.4,0.615529,0.05,2000,34.6
419,903.2,0.618462,0.05,968,16.0
420,796.74,0.620278,0.05,2000,34.6
421,796.52,0.605944,0.05,2000,34.2
422,836.8,0.594287,0.05,1632,28.4
423,890.1,0.596195,0.05,1099,19.6
424,773.6,0.599702,0.05,2000,34.7
425,838.0,0.604433,0.05,1620,27.3
426,629.72,0.588717,0.05,2000,35.0
427,902.2,0.589483,0.05,978,16.3
428,786.89,0.599449,0.05,2000,34.6
429,842.8,0.585468,0.05,1572,27.0
430,897.6,0.574024,0.05,1024,17.3
431,813.9,0.599958,0.05,1861,32.0
432,896.5,0.606883,0.05,1035,17.4
433,783.39,0.607393,0.05,2000,35.3
434,902.2,0.602048,0.05,978,16.8
435,826.1,0.600503,0.05,1739,30.1
436,767.43,0.607483,0.05,2000,35.0
437,847.0,0.599674,0.05,1530,26.1
438,891.6,0.594989,0.05,1084,19.5
439,786.3,0.594045,0.05,2000,35.0
440,853.3,0.599019,0.05,1467,25.0
441,844.1,0.590719,0.05,1559,27.1
442,892.8,0.596061,0.05,1072,18.3
443,912.9,0.618647,0.05,871,14.6
444,793.33,0.616253,0.05,2000,34.5
445,904.3,0.597793,0.05,957,16.1
446,793.06,0.601426,0.05,2000,34.8
447,911.1,0.600866,0.05,889,15.0
448,884.3,0.612912,0.05,1157,19.9
449,786.67,0.608281,0.05,2000,34.5
450,909.1,0.612725,0.05,909,16.0
451,902.0,0.609153,0.05,980,17.0
452,787.34,0.603587,0.05,2000,33.8
453,909.9,0.601885,0.05,901,15.0
454,789.58,0.587208,0.05,2000,36.2
455,836.3,0.571784,0.05,1637,30.0
456,902.2,0.581977,0.05,978,17.5
457,865.9,0.592163,0.05,1341,24.9
458,793.67,0.599863,0.05,2000,36.9
459,790.62,0.56676,0.05,2000,36.8
460,793.71,0.545307,0.05,2000,37.5
461,802.4,0.54474,0.05,1976,35.8
462,897.3,0.545738,0.05,1027,17.0
463,787.5,0.543472,0.05,2000,34.6
464,789.47,0.55505,0.05,2000,34.5
465,852.9,0.540418,0.05,1471,25.0
466,793.31,0.54562,0.05,2000,36.8
467,772.7,0.537264,0.05,2000,35.7
468,876.1,0.51755,0.05,1239,21.8
469,793.38,0.520199,0.05,2000,36.1
470,796.53,0.526655,0.05,2000,36.6
471,796.38,0.51578,0.05,2000,36.3
472,797.0,0.506208,0.05,2000,35.9
473,774.76,0.504877,0.05,2000,34.9
474,826.0,0.497689,0.05,1740,29.4
475,768.38,0.500174,0.05,2000,34.9
476,793.22,0.489127,0.05,2000,35.7
477,793.08,0.48807,0.05,2000,34.5
478,897.0,0.485276,0.05,1030,17.7
479,787.5,0.480032,0.05,2000,34.6
480,908.5,0.461395,0.05,915,15.5
481,912.9,0.464177,0.05,871,14.4
482,900.9,0.468799,0.05,991,16.6
483,790.8,0.474922,0.05,2000,35.1
484,899.7,0.477662,0.05,1003,17.4
485,774.73,0.487578,0.05,2000,35.1
486,776.9,0.475258,0.05,2000,36.7
487,784.18,0.461459,0.05,2000,35.1
488,776.43,0.454211,0.05,2000,35.9
489,771.12,0.454135,0.05,2000,36.8
490,906.8,0.475425,0.05,932,16.7
491,790.07,0.475605,0.05,2000,34.3
492,910.7,0.469818,0.05,893,14.9
493,796.25,0.48269,0.05,2000,34.5
494,908.7,0.471774,0.05,913,15.8
495,796.23,0.469354,0.05,2000,34.5
496,906.3,0.454658,0.05,937,15.7
497,898.1,0.455007,0.05,1019,17.5
498,890.5,0.459451,0.05,1095,19.0
499,824.1,0.474002,0.05,1759,29.7
500,736.93,0.465152,0.05,1599,27.3
